"Country or Area";"Year";"Area";"Type of household";"Sex of reference person";"Marital status of reference person";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Argentina";"2010";"Total";"Nuclear household";"Total";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"436266";""
"Argentina";"2010";"Total";"Nuclear household";"Total";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"427299";""
"Argentina";"2010";"Total";"Nuclear household";"Total";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"218894";""
"Argentina";"2010";"Total";"Nuclear household";"Male";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"5612867";""
"Argentina";"2010";"Total";"Nuclear household";"Male";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1555475";""
"Argentina";"2010";"Total";"Nuclear household";"Male";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"3651318";""
"Argentina";"2010";"Total";"Nuclear household";"Male";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"111110";""
"Argentina";"2010";"Total";"Nuclear household";"Male";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"205966";""
"Argentina";"2010";"Total";"Nuclear household";"Male";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"88998";""
"Argentina";"2010";"Total";"Nuclear household";"Female";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1913939";""
"Argentina";"2010";"Total";"Nuclear household";"Female";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"703406";""
"Argentina";"2010";"Total";"Nuclear household";"Female";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"534148";""
"Argentina";"2010";"Total";"Nuclear household";"Female";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"325156";""
"Argentina";"2010";"Total";"Nuclear household";"Female";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"221333";""
"Argentina";"2010";"Total";"Nuclear household";"Female";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"129896";""
"Argentina";"2010";"Total";"Couple with children";"Total";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"4472891";""
"Argentina";"2010";"Total";"Couple with children";"Total";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1379460";""
"Argentina";"2010";"Total";"Couple with children";"Total";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"2869892";""
"Argentina";"2010";"Total";"Couple with children";"Total";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"31550";""
"Argentina";"2010";"Total";"Couple with children";"Total";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"138360";""
"Argentina";"2010";"Total";"Couple with children";"Total";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"53629";""
"Argentina";"2010";"Total";"Couple with children";"Male";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"3956943";""
"Argentina";"2010";"Total";"Couple with children";"Male";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1159012";""
"Argentina";"2010";"Total";"Couple with children";"Male";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"2625962";""
"Argentina";"2010";"Total";"Couple with children";"Male";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"19499";""
"Argentina";"2010";"Total";"Couple with children";"Male";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"110761";""
"Argentina";"2010";"Total";"Couple with children";"Male";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"41709";""
"Argentina";"2010";"Total";"Couple with children";"Female";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"515948";""
"Argentina";"2010";"Total";"Couple with children";"Female";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"220448";""
"Argentina";"2010";"Total";"Couple with children";"Female";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"243930";""
"Argentina";"2010";"Total";"Couple with children";"Female";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"12051";""
"Argentina";"2010";"Total";"Couple with children";"Female";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"27599";""
"Argentina";"2010";"Total";"Couple with children";"Female";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"11920";""
"Argentina";"2010";"Total";"Couple without children";"Total";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1421871";""
"Argentina";"2010";"Total";"Couple without children";"Total";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"459157";""
"Argentina";"2010";"Total";"Couple without children";"Total";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"246256";""
"Argentina";"2010";"Total";"Couple without children";"Total";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"363077";""
"Argentina";"2010";"Total";"Couple without children";"Total";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"215174";""
"Argentina";"2010";"Total";"Couple without children";"Total";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"138207";""
"Argentina";"2010";"Total";"Couple without children";"Male";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"243756";""
"Argentina";"2010";"Total";"Couple without children";"Male";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"63254";""
"Argentina";"2010";"Total";"Couple without children";"Male";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"53729";""
"Argentina";"2010";"Total";"Couple without children";"Male";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"66289";""
"Argentina";"2010";"Total";"Couple without children";"Male";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"35623";""
"Argentina";"2010";"Total";"Couple without children";"Male";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"24861";""
"Argentina";"2010";"Total";"Couple without children";"Female";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1178115";""
"Argentina";"2010";"Total";"Couple without children";"Female";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"395903";""
"Argentina";"2010";"Total";"Couple without children";"Female";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"192527";""
"Argentina";"2010";"Total";"Couple without children";"Female";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"296788";""
"Argentina";"2010";"Total";"Couple without children";"Female";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"179551";""
"Argentina";"2010";"Total";"Couple without children";"Female";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"113346";""
"Argentina";"2010";"Total";"Single parent with children";"Total";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1632044";""
"Argentina";"2010";"Total";"Single parent with children";"Total";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"420264";""
"Argentina";"2010";"Total";"Single parent with children";"Total";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1069318";""
"Argentina";"2010";"Total";"Single parent with children";"Total";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"41639";""
"Argentina";"2010";"Total";"Single parent with children";"Total";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"73765";""
"Argentina";"2010";"Total";"Single parent with children";"Total";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"27058";""
"Argentina";"2010";"Total";"Single parent with children";"Male";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1412168";""
"Argentina";"2010";"Total";"Single parent with children";"Male";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"333209";""
"Argentina";"2010";"Total";"Single parent with children";"Male";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"971627";""
"Argentina";"2010";"Total";"Single parent with children";"Male";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"25322";""
"Argentina";"2010";"Total";"Single parent with children";"Male";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"59582";""
"Argentina";"2010";"Total";"Single parent with children";"Male";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"22428";""
"Argentina";"2010";"Total";"Single parent with children";"Female";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"219876";""
"Argentina";"2010";"Total";"Single parent with children";"Female";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"87055";""
"Argentina";"2010";"Total";"Single parent with children";"Female";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"97691";""
"Argentina";"2010";"Total";"Single parent with children";"Female";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"16317";""
"Argentina";"2010";"Total";"Single parent with children";"Female";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"14183";""
"Argentina";"2010";"Total";"Single parent with children";"Female";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"4630";""
"Argentina";"2010";"Total";"Non-nuclear household";"Total";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"2464108";""
"Argentina";"2010";"Total";"Non-nuclear household";"Total";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"861577";""
"Argentina";"2010";"Total";"Non-nuclear household";"Total";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"991559";""
"Argentina";"2010";"Total";"Non-nuclear household";"Total";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"383520";""
"Argentina";"2010";"Total";"Non-nuclear household";"Total";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"131559";""
"Argentina";"2010";"Total";"Non-nuclear household";"Total";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"95893";""
"Argentina";"2010";"Total";"Non-nuclear household";"Male";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1418313";""
"Argentina";"2010";"Total";"Non-nuclear household";"Male";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"466207";""
"Argentina";"2010";"Total";"Non-nuclear household";"Male";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"793258";""
"Argentina";"2010";"Total";"Non-nuclear household";"Male";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"72484";""
"Argentina";"2010";"Total";"Non-nuclear household";"Male";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"52421";""
"Argentina";"2010";"Total";"Non-nuclear household";"Male";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"33943";""
"Argentina";"2010";"Total";"Non-nuclear household";"Female";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1045795";""
"Argentina";"2010";"Total";"Non-nuclear household";"Female";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"395370";""
"Argentina";"2010";"Total";"Non-nuclear household";"Female";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"198301";""
"Argentina";"2010";"Total";"Non-nuclear household";"Female";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"311036";""
"Argentina";"2010";"Total";"Non-nuclear household";"Female";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"79138";""
"Argentina";"2010";"Total";"Non-nuclear household";"Female";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"61950";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Total";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1858856";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Total";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"481513";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Total";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"941989";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Total";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"262228";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Total";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"97390";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Total";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"75736";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Male";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1146256";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Male";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"261622";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Male";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"767618";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Male";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"56262";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Male";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"36513";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Male";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"24241";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Female";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"712600";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Female";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"219891";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Female";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"174371";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Female";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"205966";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Female";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"60877";""
"Argentina";"2010";"Total";"A single family nucleus and other persons";"Female";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"51495";""
"Argentina";"2010";"Total";"Other";"Total";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"605252";""
"Argentina";"2010";"Total";"Other";"Total";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"380064";""
"Argentina";"2010";"Total";"Other";"Total";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"49570";""
"Argentina";"2010";"Total";"Other";"Total";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"121292";""
"Argentina";"2010";"Total";"Other";"Total";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"34169";""
"Argentina";"2010";"Total";"Other";"Total";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"20157";""
"Argentina";"2010";"Total";"Other";"Male";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"272057";""
"Argentina";"2010";"Total";"Other";"Male";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"204585";""
"Argentina";"2010";"Total";"Other";"Male";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"25640";""
"Argentina";"2010";"Total";"Other";"Male";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"16222";""
"Argentina";"2010";"Total";"Other";"Male";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"15908";""
"Argentina";"2010";"Total";"Other";"Male";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"9702";""
"Argentina";"2010";"Total";"Other";"Female";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"333195";""
"Argentina";"2010";"Total";"Other";"Female";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"175479";""
"Argentina";"2010";"Total";"Other";"Female";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"23930";""
"Argentina";"2010";"Total";"Other";"Female";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"105070";""
"Argentina";"2010";"Total";"Other";"Female";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"18261";""
"Argentina";"2010";"Total";"Other";"Female";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"10455";""
"Armenia";"2001";"Total";"Total";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"775288";""
"Armenia";"2001";"Total";"Total";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"34007";""
"Armenia";"2001";"Total";"Total";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"530163";""
"Armenia";"2001";"Total";"Total";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"173090";""
"Armenia";"2001";"Total";"Total";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"38028";""
"Armenia";"2001";"Total";"Total";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"531487";""
"Armenia";"2001";"Total";"Total";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"11848";""
"Armenia";"2001";"Total";"Total";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"485872";""
"Armenia";"2001";"Total";"Total";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"26138";""
"Armenia";"2001";"Total";"Total";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"7629";""
"Armenia";"2001";"Total";"Total";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"243801";""
"Armenia";"2001";"Total";"Total";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"22159";""
"Armenia";"2001";"Total";"Total";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"44291";""
"Armenia";"2001";"Total";"Total";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"146952";""
"Armenia";"2001";"Total";"Total";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"30399";""
"Aruba";"2010";"Total";"Total";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"34852";"1"
"Aruba";"2010";"Total";"One-person household";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"7447";"1"
"Aruba";"2010";"Total";"Nuclear household";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"15724";"1"
"Aruba";"2010";"Total";"Couple with children";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"7723";"1"
"Aruba";"2010";"Total";"Couple without children";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"4000";"1"
"Aruba";"2010";"Total";"Single parent with children";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"4002";"1"
"Aruba";"2010";"Total";"Non-nuclear household";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"11672";"1"
"Aruba";"2010";"Total";"Unknown";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2013";"9";"1"
"Australia";"2016";"Total";"Total";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"8861623";"2"
"Australia";"2016";"Total";"Total";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"2180438";"2"
"Australia";"2016";"Total";"Total";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"4408012";"2"
"Australia";"2016";"Total";"Total";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"703273";"2"
"Australia";"2016";"Total";"Total";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"1138874";"2"
"Australia";"2016";"Total";"Total";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"423620";"2"
"Australia";"2016";"Total";"Total";"Total";"Unknown";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"7404";"2,3"
"Australia";"2016";"Total";"Total";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"4956568";"2"
"Australia";"2016";"Total";"Total";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"1067322";"2"
"Australia";"2016";"Total";"Total";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"3103732";"2"
"Australia";"2016";"Total";"Total";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"151849";"2"
"Australia";"2016";"Total";"Total";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"452543";"2"
"Australia";"2016";"Total";"Total";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"177293";"2"
"Australia";"2016";"Total";"Total";"Male";"Unknown";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"3835";"2,3"
"Australia";"2016";"Total";"Total";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"3905050";"2"
"Australia";"2016";"Total";"Total";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"1113115";"2"
"Australia";"2016";"Total";"Total";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"1304279";"2"
"Australia";"2016";"Total";"Total";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"551428";"2"
"Australia";"2016";"Total";"Total";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"686336";"2"
"Australia";"2016";"Total";"Total";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"246332";"2"
"Australia";"2016";"Total";"Total";"Female";"Unknown";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"3569";"2,3"
"Australia";"2016";"Total";"One-person household";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"2023542";"2"
"Australia";"2016";"Total";"One-person household";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2017";"800068";"2"
